neighborhood,year,month,time_category,population,area_sq_km,population_density,income,crime_count,electric_index,date,ntl_mean,n_pixels,n_non_na_pixels,prop_non_na_pixels,is_downtown,expected_crime
Arbutus Ridge,2014,12,night,5310,1.5289,3473.0852246713325,0.8889018181818181,20,101.7,2014-12-01,3.78578948974609,37,37,1,0,11.713143190348635
Arbutus Ridge,2015,1,day,3862,1.00077,3859.0285480180264,0.7677866666666666,6,101.7,2015-01-01,3.03133344650269,37,37,1,0,9.343408728784608
Arbutus Ridge,2015,1,night,6835,1.58129,4322.420302411322,0.77079,23,101.7,2015-01-01,3.03133344650269,37,37,1,0,15.847825174693726
Arbutus Ridge,2015,2,day,2758,0.55514,4968.116150880859,0.7915519999999999,6,101.7,2015-02-01,3.17247748374939,37,37,1,0,10.848490902499911
Arbutus Ridge,2015,2,night,5598,1.3658700000000001,4098.4866788200925,0.871936,15,101.7,2015-02-01,3.17247748374939,37,37,1,0,13.552407047827412
Arbutus Ridge,2015,3,day,5444,1.42656,3816.1731718259307,0.8169244444444445,13,101.7,2015-03-01,3.18103075027466,37,37,1,0,9.320905545011613
Arbutus Ridge,2015,3,night,5374,1.14332,4700.346359724312,0.8029866666666666,13,101.7,2015-03-01,3.18103075027466,37,37,1,0,17.385020832998777
Arbutus Ridge,2015,4,day,6939,1.69522,4093.2740293295265,0.8376318181818182,13,107.7,2015-04-01,3.07014060020447,37,37,1,0,10.033774219638914
Arbutus Ridge,2015,4,night,6213,1.81956,3414.5617621842644,0.9083345454545455,13,107.7,2015-04-01,3.07014060020447,37,37,1,0,12.674878295901129
Arbutus Ridge,2015,5,day,6379,1.26669,5035.959863897244,0.70107,10,107.7,2015-05-01,3.12076640129089,37,37,1,0,12.935841840490852
Arbutus Ridge,2015,5,night,5730,1.43116,4003.745213672825,0.843563,15,107.7,2015-05-01,3.12076640129089,37,37,1,0,15.573785558259766
Arbutus Ridge,2015,6,day,6082,1.31404,4628.474019055736,0.747904,14,107.7,2015-06-01,NA,NA,NA,NA,0,12.005939848184536
Arbutus Ridge,2015,6,night,2963,0.4207,7043.023532208224,0.7102075,8,107.7,2015-06-01,NA,NA,NA,NA,0,27.665134973113098
Arbutus Ridge,2015,7,day,4679,1.32003,3544.616410233101,0.83637375,16,107.7,2015-07-01,3.21946811676025,37,37,1,0,9.630649737097205
Arbutus Ridge,2015,7,night,6906,2.11526,3264.8468746158865,0.8921930769230769,21,107.7,2015-07-01,3.21946811676025,37,37,1,0,13.432736093232506
Arbutus Ridge,2015,8,day,3626,0.93785,3866.289918430453,0.8616533333333334,8,107.7,2015-08-01,2.77357864379883,37,37,1,0,10.695047925799031
Arbutus Ridge,2015,8,night,7014,2.0016,3504.1966426858517,0.8709333333333333,16,107.7,2015-08-01,2.77357864379883,37,37,1,0,14.67885255980064
Arbutus Ridge,2015,9,day,6765,1.75182,3861.6981196698293,0.8181990909090909,16,107.7,2015-09-01,2.61419320106506,37,37,1,0,10.110191147809534
Arbutus Ridge,2015,9,night,4861,1.6335600000000001,2975.7094933764292,0.8754255555555556,15,107.7,2015-09-01,2.61419320106506,37,37,1,0,11.797416101762114
Arbutus Ridge,2015,10,day,4070,1.16834,3483.5749867333143,0.8349257142857143,12,107.7,2015-10-01,2.88826656341553,37,37,1,0,9.176328265195544
Arbutus Ridge,2015,10,night,9825,2.26843,4331.189412941991,0.802031875,30,107.7,2015-10-01,2.88826656341553,37,37,1,0,17.276918143332633
Arbutus Ridge,2015,11,day,3252,0.89524,3632.545462669228,0.7643733333333333,9,107.7,2015-11-01,3.00973391532898,37,37,1,0,8.620964126529236
Arbutus Ridge,2015,11,night,7599,1.9277,3942.003423769259,0.8194953846153846,15,107.7,2015-11-01,3.00973391532898,37,37,1,0,14.166974028877023
Arbutus Ridge,2015,12,day,4087,0.9731,4199.979447127736,0.7406328571428571,12,107.7,2015-12-01,1.81133425235748,37,37,1,0,9.686535975389964
Arbutus Ridge,2015,12,night,6990,1.70117,4108.93679056179,0.8098209090909091,22,107.7,2015-12-01,1.81133425235748,37,37,1,0,14.350469567936136
Arbutus Ridge,2016,1,day,7085,1.52739,4638.631914573226,0.795699,16,107.7,2016-01-01,3.20316457748413,37,37,1,0,11.778622632353272
Arbutus Ridge,2016,1,night,8109,2.00902,4036.2963036704464,0.7467806666666666,27,107.7,2016-01-01,3.20316457748413,37,37,1,0,15.520401699768307
Arbutus Ridge,2016,2,day,5128,1.35121,3795.1169692349818,0.86675,12,107.6,2016-02-01,2.91807436943054,37,37,1,0,8.691205009501328
Arbutus Ridge,2016,2,night,9247,2.3993700000000002,3853.9283228514146,0.825871875,22,107.6,2016-02-01,2.91807436943054,37,37,1,0,13.365148318647622
Arbutus Ridge,2016,3,day,6172,1.36275,4529.077233535131,0.782131,18,107.7,2016-03-01,3.1710729598999,37,37,1,0,11.601576276057694
Arbutus Ridge,2016,3,night,5431,1.41129,3848.2523081719564,0.899328,14,107.7,2016-03-01,3.1710729598999,37,37,1,0,14.92746744109598
Arbutus Ridge,2016,4,day,3869,0.76897,5031.405646514168,0.72384,10,112.2,2016-04-01,2.99673318862915,37,37,1,0,12.934810698509187
Arbutus Ridge,2016,4,night,5253,1.69249,3103.711100213295,0.962944,14,112.2,2016-04-01,2.99673318862915,37,37,1,0,12.082793544251805
Arbutus Ridge,2016,5,day,6987,1.43735,4861.028976936725,0.71459,15,112.3,2016-05-01,2.71816492080688,37,37,1,0,13.095373416263667
Arbutus Ridge,2016,5,night,5875,1.66616,3526.071925865463,0.804523,13,112.3,2016-05-01,2.71816492080688,37,37,1,0,14.384546183538633
Arbutus Ridge,2016,6,day,3306,0.93144,3549.3429528472043,0.7876266666666667,15,112.2,2016-06-01,NA,NA,NA,NA,0,9.655694972120546
Arbutus Ridge,2016,6,night,9201,2.26002,4071.202909708764,0.754906875,30,112.2,2016-06-01,NA,NA,NA,NA,0,16.77156703060201
Arbutus Ridge,2016,7,day,6053,1.5556699999999999,3890.928024581049,0.8225745454545454,22,112.3,2016-07-01,2.49588489532471,37,37,1,0,11.087069795629992
Arbutus Ridge,2016,7,night,8608,1.99741,4309.580907274922,0.8008,27,112.3,2016-07-01,2.49588489532471,37,37,1,0,18.595760488484974
Arbutus Ridge,2016,8,day,4966,1.32007,3761.921716272622,0.79157375,14,112.3,2016-08-01,2.78981280326843,37,37,1,0,10.91378293848662
Arbutus Ridge,2016,8,night,8159,1.84587,4420.13792954,0.7736515384615384,20,112.3,2016-08-01,2.78981280326843,37,37,1,0,19.41854566976031
Arbutus Ridge,2016,9,day,5587,1.19063,4692.473732393774,0.78774375,14,112.2,2016-09-01,2.63076114654541,37,37,1,0,12.884279463682121
Arbutus Ridge,2016,9,night,6397,1.6444,3890.172707370469,0.7284754545454546,15,112.2,2016-09-01,2.63076114654541,37,37,1,0,16.17493297313953
Arbutus Ridge,2016,10,day,3185,0.84784,3756.605019815059,0.747776,10,112.3,2016-10-01,2.29348683357239,37,37,1,0,10.378068962790877
Arbutus Ridge,2016,10,night,6389,1.5083900000000001,4235.641975881569,0.8558545454545454,13,112.3,2016-10-01,2.29348683357239,37,37,1,0,17.719668074668846
Arbutus Ridge,2016,11,day,3140,0.74212,4231.121651484935,0.7331840000000001,8,112.2,2016-11-01,2.24216556549072,37,37,1,0,10.531192026522794
Arbutus Ridge,2016,11,night,7150,1.86804,3827.5411661420526,0.7118225,17,112.2,2016-11-01,2.24216556549072,37,37,1,0,14.426374798853393
Arbutus Ridge,2016,12,day,5789,1.04365,5546.878742873569,0.75686375,9,112.3,2016-12-01,2.91801762580872,37,37,1,0,13.41674738463079
Arbutus Ridge,2016,12,night,6662,1.57725,4223.807259470597,0.82624,22,112.3,2016-12-01,2.91801762580872,37,37,1,0,15.470985675236937
Arbutus Ridge,2017,1,day,1617,0.33152,4877.533783783784,0.7573333333333333,3,112.3,2017-01-01,3.18350076675415,37,37,1,0,11.765452836094486
Arbutus Ridge,2017,1,night,6795,1.67129,4065.7216880373844,0.7260800000000001,15,112.3,2017-01-01,3.18350076675415,37,37,1,0,14.851192538673768
Arbutus Ridge,2017,2,day,3112,0.78905,3943.983271022115,0.6759116666666667,8,112.1,2017-02-01,3.20078730583191,37,37,1,0,8.58012583875057
Arbutus Ridge,2017,2,night,7794,2.0178,3862.6226583407674,0.8083626666666667,25,112.1,2017-02-01,3.20078730583191,37,37,1,0,12.724953325843694
Arbutus Ridge,2017,3,day,4004,1.02713,3898.2407290216424,0.7689142857142857,9,112.3,2017-03-01,3.50062990188599,37,37,1,0,9.485925129360663
Arbutus Ridge,2017,3,night,7529,1.79581,4192.537072407437,0.7393807692307692,20,112.3,2017-03-01,3.50062990188599,37,37,1,0,15.449103062480717
Arbutus Ridge,2017,4,day,2814,0.43568999999999997,6458.720650003444,0.737536,6,115.2,2017-04-01,3.16373991966248,37,37,1,0,15.773243586691342
Arbutus Ridge,2017,4,night,6292,1.81578,3465.177499476809,0.8412091666666667,20,115.2,2017-04-01,3.16373991966248,37,37,1,0,12.814902785385971
Arbutus Ridge,2017,5,day,6829,1.60895,4244.382982690574,0.77049,15,115.3,2017-05-01,3.30858993530273,37,37,1,0,10.861955179238757
Arbutus Ridge,2017,5,night,5240,1.45045,3612.6719294012205,0.84736,14,115.3,2017-05-01,3.30858993530273,37,37,1,0,14.00029824460778
Arbutus Ridge,2017,6,day,4475,0.6568200000000001,6813.129929052099,0.6268583333333333,8,115.2,2017-06-01,NA,NA,NA,NA,0,17.607026138025297
Arbutus Ridge,2017,6,night,4998,1.1348,4404.300317236517,0.7331555555555556,19,115.2,2017-06-01,NA,NA,NA,NA,0,17.235805456576056
Arbutus Ridge,2017,7,day,4285,1.248,3433.49358974359,0.78368,13,115.3,2017-07-01,3.56896877288818,37,37,1,0,9.2940197292709
Arbutus Ridge,2017,7,night,8048,1.77723,4528.39531180545,0.8029930769230769,27,115.3,2017-07-01,3.56896877288818,37,37,1,0,18.56209548134651
Arbutus Ridge,2017,8,day,4544,1.10697,4104.8989584180235,0.7699014285714285,8,115.3,2017-08-01,2.81895136833191,37,37,1,0,11.31284389560395
Arbutus Ridge,2017,8,night,7163,1.58811,4510.392856917972,0.7529353846153846,21,115.3,2017-08-01,2.81895136833191,37,37,1,0,18.82344089580108
Arbutus Ridge,2017,9,day,4499,0.77223,5825.984486487187,0.6876583333333334,9,115.2,2017-09-01,2.67839026451111,37,37,1,0,15.196073122367851
Arbutus Ridge,2017,9,night,4682,1.27735,3665.4010255607313,0.83984,10,115.2,2017-09-01,2.67839026451111,37,37,1,0,14.477676523790795
Arbutus Ridge,2017,10,day,5630,1.78775,3149.209900713187,0.921088,15,115.3,2017-10-01,2.86597943305969,37,37,1,0,8.26468662121984
Arbutus Ridge,2017,10,night,2504,0.7185,3485.038274182324,0.874496,7,115.3,2017-10-01,2.86597943305969,37,37,1,0,13.849932465276328
Arbutus Ridge,2017,11,day,2009,0.60424,3324.83781278962,0.7099733333333333,5,115.2,2017-11-01,2.95120811462402,37,37,1,0,7.861334021905807
Arbutus Ridge,2017,11,night,5374,1.24643,4311.513683078873,0.820608,16,115.2,2017-11-01,2.95120811462402,37,37,1,0,15.437283298321267
Arbutus Ridge,2017,12,day,4349,1.01478,4285.657975127614,0.77776,10,115.3,2017-12-01,3.31321310997009,37,37,1,0,9.847360651796956
Arbutus Ridge,2017,12,night,6773,1.75743,3853.9230581018874,0.8282584615384615,20,115.3,2017-12-01,3.31321310997009,37,37,1,0,13.409750467442976
Arbutus Ridge,2018,1,day,1645,0.45127,3645.267799765107,0.7931733333333333,3,115.3,2018-01-01,3.02851557731628,37,37,1,0,8.872207632137702
Arbutus Ridge,2018,1,night,5061,1.11134,4553.961883851926,0.7913244444444444,10,115.3,2018-01-01,3.02851557731628,37,37,1,0,16.784444405452817
Arbutus Ridge,2018,2,day,2635,0.66476,3963.836572597629,0.896768,5,115.1,2018-02-01,6.01836585998535,37,37,1,0,8.700981197105394
Arbutus Ridge,2018,2,night,7694,1.83564,4191.453661938071,0.7548516666666667,19,115.1,2018-02-01,6.01836585998535,37,37,1,0,13.932609983243559
Arbutus Ridge,2018,3,day,4280,1.23823,3456.5468450933995,0.8528,11,115.3,2018-03-01,3.44717860221863,37,37,1,0,8.486866709010142
Arbutus Ridge,2018,3,night,5326,1.3153000000000001,4049.266327073671,0.7620266666666666,13,115.3,2018-03-01,3.44717860221863,37,37,1,0,15.05554902427673
Arbutus Ridge,2018,4,day,5235,0.86053,6083.460193136788,0.7079128571428571,9,118.7,2018-04-01,3.46631574630737,37,37,1,0,14.990602085685207
Arbutus Ridge,2018,4,night,4812,1.03231,4661.390473791787,0.7292799999999999,14,118.7,2018-04-01,3.46631574630737,37,37,1,0,17.39398979848369
Arbutus Ridge,2018,5,day,6204,1.69207,3666.514978694735,0.8584145454545454,14,118.8,2018-05-01,3.22596716880798,37,37,1,0,9.46761963828475
Arbutus Ridge,2018,5,night,5903,1.7193100000000001,3433.354078089466,0.8225066666666667,17,118.8,2018-05-01,3.22596716880798,37,37,1,0,13.425215120209456
Arbutus Ridge,2018,6,day,4337,1.16818,3712.612782276704,0.78656,12,118.7,2018-06-01,NA,NA,NA,NA,0,9.680836600132695
Arbutus Ridge,2018,6,night,6047,1.94478,3109.3491294645155,0.8427054545454545,15,118.7,2018-06-01,NA,NA,NA,NA,0,12.277729032374475
Arbutus Ridge,2018,7,day,4321,1.15655,3736.111711555921,0.8351085714285714,7,118.8,2018-07-01,3.45625638961792,37,37,1,0,10.204250209504055
Arbutus Ridge,2018,7,night,3171,0.56917,5571.270446439553,0.7483733333333333,8,118.8,2018-07-01,3.45625638961792,37,37,1,0,23.04256427877066
Arbutus Ridge,2018,8,night,4517,1.24677,3622.961733118378,0.86208,9,118.8,2018-08-01,2.51724028587341,37,37,1,0,15.256056463075454
Arbutus Ridge,2018,9,day,3437,0.87921,3909.191205741518,0.9078857142857143,7,118.7,2018-09-01,2.78740930557251,37,37,1,0,10.288282017916321
Arbutus Ridge,2018,9,night,6002,1.78269,3366.822049823581,0.8854109090909091,16,118.7,2018-09-01,2.78740930557251,37,37,1,0,13.418112574273916
Arbutus Ridge,2018,10,day,3304,1.20619,2739.2036080551156,0.83456,6,118.8,2018-10-01,2.89807462692261,37,37,1,0,7.253422817324478
Arbutus Ridge,2018,10,night,5600,1.48666,3766.8330351257177,0.8513044444444444,14,118.8,2018-10-01,2.89807462692261,37,37,1,0,15.104639714899534
Arbutus Ridge,2018,11,day,6345,0.93203,6807.720781519908,0.721075,16,118.7,2018-11-01,2.81074905395508,37,37,1,0,16.2413234609009
Arbutus Ridge,2018,11,night,9025,2.30213,3920.2825209697107,0.79904,21,118.7,2018-11-01,2.81074905395508,37,37,1,0,14.162905853276474
Arbutus Ridge,2018,12,day,3756,1.00537,3735.938012870883,0.7479466666666666,7,118.8,2018-12-01,2.80976557731628,37,37,1,0,8.661555524397949
Arbutus Ridge,2018,12,night,7065,2.08798,3383.6531001254803,0.9373538461538461,16,118.8,2018-12-01,2.80976557731628,37,37,1,0,11.87947874521458
Arbutus Ridge,2019,1,day,2974,0.7640600000000001,3892.3644739941888,0.756736,7,118.8,2019-01-01,2.74760007858276,37,37,1,0,10.265300554636543
Arbutus Ridge,2019,1,night,5274,1.54538,3412.752850431609,0.7815588888888889,12,118.8,2019-01-01,2.74760007858276,37,37,1,0,13.629449930201261
Arbutus Ridge,2019,2,day,2989,0.67403,4434.520718662374,0.76288,6,118.6,2019-02-01,4.29562711715698,37,37,1,0,10.547634933584066
Arbutus Ridge,2019,2,night,5067,1.34755,3760.1573225483285,0.7684744444444445,13,118.6,2019-02-01,4.29562711715698,37,37,1,0,13.543463403957366
Arbutus Ridge,2019,3,day,5181,1.00113,5175.152078151688,0.7843555555555556,11,118.8,2019-03-01,3.32608199119568,37,37,1,0,13.768415475224378
Arbutus Ridge,2019,3,night,2293,0.7131000000000001,3215.5377927359414,0.7284275,6,118.8,2019-03-01,3.32608199119568,37,37,1,0,12.95477234538165
Arbutus Ridge,2019,4,day,3975,1.00666,3948.7016470307744,0.8288914285714286,11,120.9,2019-04-01,3.24639344215393,37,37,1,0,10.543350357028432
Arbutus Ridge,2019,4,night,5572,1.12005,4974.77791170037,0.817024,16,120.9,2019-04-01,3.24639344215393,37,37,1,0,20.11468963794138
Arbutus Ridge,2019,5,day,4841,1.4087,3436.501739192163,0.73717375,11,120.9,2019-05-01,3.07579374313354,37,37,1,0,9.61523312133605
Arbutus Ridge,2019,5,night,3589,0.72794,4930.351402588125,0.7610514285714286,9,120.9,2019-05-01,3.07579374313354,37,37,1,0,20.88990404847459
Arbutus Ridge,2019,6,day,3714,0.81742,4543.563896161092,0.81728,8,120.9,2019-06-01,NA,NA,NA,NA,0,12.837657536338662
Arbutus Ridge,2019,6,night,6811,1.8309,3720.028401332678,0.8222225,18,120.9,2019-06-01,NA,NA,NA,NA,0,15.916615415834288
Arbutus Ridge,2019,7,day,3984,0.73971,5385.894472158008,0.7934171428571428,10,120.9,2019-07-01,3.34158802032471,37,37,1,0,15.939511132381513
Arbutus Ridge,2019,7,night,5883,1.45378,4046.6920717027333,0.775339,14,120.9,2019-07-01,3.34158802032471,37,37,1,0,18.135629593901964
Arbutus Ridge,2019,8,day,5765,1.49413,3858.4326665015765,0.806272,14,120.9,2019-08-01,3.13525366783142,37,37,1,0,11.62599299800644
Arbutus Ridge,2019,8,night,8624,1.9456,4432.565789473684,0.8331335714285715,23,120.9,2019-08-01,3.13525366783142,37,37,1,0,20.225051799464275
Arbutus Ridge,2019,9,day,5909,0.92764,6369.927989306197,0.5903575,13,120.9,2019-09-01,3.14009237289429,37,37,1,0,18.165459249964396
Arbutus Ridge,2019,9,night,3854,1.10887,3475.610305987176,0.8451657142857143,14,120.9,2019-09-01,3.14009237289429,37,37,1,0,15.009224603247537
Arbutus Ridge,2019,10,day,5033,1.16827,4308.079467931215,0.74997,11,120.9,2019-10-01,2.9906792640686,37,37,1,0,12.36113349813577
Arbutus Ridge,2019,10,night,5481,1.34608,4071.8233685962205,0.804352,12,120.9,2019-10-01,2.9906792640686,37,37,1,0,17.692077882094644
Arbutus Ridge,2019,11,day,4567,1.06573,4285.325551499911,0.76432,9,120.9,2019-11-01,3.22918081283569,37,37,1,0,11.0779503202045
Arbutus Ridge,2019,11,night,6913,1.57873,4378.836153110412,0.7818163636363636,19,120.9,2019-11-01,3.22918081283569,37,37,1,0,17.141531020714915
Arbutus Ridge,2019,12,day,2747,0.42908999999999997,6401.9203430515745,0.64384,6,120.9,2019-12-01,2.67325258255005,37,37,1,0,16.08282772468946
Arbutus Ridge,2019,12,night,5125,1.62537,3153.1282108073856,0.89024,11,120.9,2019-12-01,2.67325258255005,37,37,1,0,11.995244235116788
Arbutus Ridge,2020,1,day,2808,0.61047,4599.734630694384,0.649814,7,120.9,2020-01-01,5.92988300323486,37,37,1,0,9.80745957159386
Arbutus Ridge,2020,1,night,7261,1.87204,3878.6564389649793,0.8215891666666667,18,120.9,2020-01-01,5.92988300323486,37,37,1,0,12.523346106723404
Arbutus Ridge,2020,2,day,3944,1.25357,3146.214411640355,0.87333375,11,120.8,2020-02-01,3.09078860282898,37,37,1,0,6.05009644540657
Arbutus Ridge,2020,2,night,3816,1.17738,3241.0946338480353,0.8927085714285714,8,120.8,2020-02-01,3.09078860282898,37,37,1,0,9.43802263650835
Arbutus Ridge,2020,3,day,4570,0.99337,4600.501323776639,0.69008,11,120.9,2020-03-01,3.43210434913635,37,37,1,0,9.895359717655978
Arbutus Ridge,2020,3,night,7149,2.15542,3316.75497118891,0.8517907692307692,22,120.9,2020-03-01,3.43210434913635,37,37,1,0,10.80326765804075
Arbutus Ridge,2020,4,day,3397,1.01348,3351.8175000986703,0.8148114285714285,9,119.6,2020-04-01,3.40159749984741,37,37,1,0,7.235528555560305
Arbutus Ridge,2020,4,night,7002,1.64185,4264.701403904132,0.8453758333333333,16,119.6,2020-04-01,3.40159749984741,37,37,1,0,13.940997454647002
Arbutus Ridge,2020,5,day,1372,0.49656,2763.009505397132,0.91392,3,119.7,2020-05-01,3.22228956222534,37,37,1,0,6.250161067395041
Arbutus Ridge,2020,5,night,4885,0.80366,6078.4411318219145,0.7446671428571429,13,119.7,2020-05-01,3.22228956222534,37,37,1,0,20.82170870358972
Arbutus Ridge,2020,6,day,6269,1.62727,3852.4645572031686,0.849570909090909,16,119.6,2020-06-01,NA,NA,NA,NA,0,8.800216936685397
Arbutus Ridge,2020,6,night,5061,1.40907,3591.730716004173,0.825216,18,119.6,2020-06-01,NA,NA,NA,NA,0,12.424353973728588
Arbutus Ridge,2020,7,day,2588,0.7197600000000001,3595.6429921084805,0.816384,7,119.7,2020-07-01,2.94279026985168,37,37,1,0,8.603185798224416
Arbutus Ridge,2020,7,night,4036,1.2676800000000001,3183.7687744541204,0.84,13,119.7,2020-07-01,2.94279026985168,37,37,1,0,11.535583780612193
Arbutus Ridge,2020,8,day,4578,1.45053,3156.087774813344,0.7967766666666667,13,119.7,2020-08-01,2.88345885276794,37,37,1,0,7.688361308117164
Arbutus Ridge,2020,8,night,8033,1.90968,4206.463910183905,0.8490025,12,119.7,2020-08-01,2.88345885276794,37,37,1,0,15.51733727212234
Arbutus Ridge,2020,9,day,4901,1.23026,3983.7107603270856,0.8578844444444444,9,119.6,2020-09-01,2.94486618041992,37,37,1,0,9.184705552779723
Arbutus Ridge,2020,9,night,8150,2.10204,3877.185971722707,0.8189928571428571,17,119.6,2020-09-01,2.94486618041992,37,37,1,0,13.536593680204954
Arbutus Ridge,2020,10,day,3437,1.05141,3268.943609058312,0.8631466666666666,6,119.7,2020-10-01,2.65306282043457,37,37,1,0,7.583114262220641
Arbutus Ridge,2020,10,night,6293,1.29356,4864.8690435696835,0.8443809090909091,13,119.7,2020-10-01,2.65306282043457,37,37,1,0,17.089393354933176
Arbutus Ridge,2020,11,day,3037,0.96941,3132.8333728762855,0.779008,5,119.6,2020-11-01,2.82619690895081,37,37,1,0,6.547544661946547
Arbutus Ridge,2020,11,night,5348,1.39115,3844.301477195126,0.82134375,10,119.6,2020-11-01,2.82619690895081,37,37,1,0,12.16673173974893
Arbutus Ridge,2020,12,day,4113,0.83425,4930.176805513935,0.736725,8,119.7,2020-12-01,2.35855960845947,37,37,1,0,10.01336894665264
Arbutus Ridge,2020,12,night,4980,1.42698,3489.88773493672,0.879915,12,119.7,2020-12-01,2.35855960845947,37,37,1,0,10.733577628640106
Arbutus Ridge,2021,1,day,2523,0.44852,5625.167216623562,0.6928,7,119.7,2021-01-01,2.14154410362244,37,37,1,0,9.664258804984376
Arbutus Ridge,2021,1,night,6986,1.38356,5049.293127873024,0.687454,20,119.7,2021-01-01,2.14154410362244,37,37,1,0,13.136480313352907
Arbutus Ridge,2021,2,day,2394,0.53485,4476.021314387211,0.6944,7,119.5,2021-02-01,3.2940046787262,37,37,1,0,6.935463536413633
Arbutus Ridge,2021,2,night,2899,0.58908,4921.233109255109,0.727296,9,119.5,2021-02-01,3.2940046787262,37,37,1,0,11.547091443290439
Arbutus Ridge,2021,3,day,2185,0.42883,5095.25919361985,0.75168,4,119.7,2021-03-01,3.20206737518311,37,37,1,0,8.830841149271324
Arbutus Ridge,2021,3,night,5194,0.81888,6342.809691285658,0.67189,9,119.7,2021-03-01,3.20206737518311,37,37,1,0,16.646877877452347
Arbutus Ridge,2021,4,day,3056,0.58184,5252.303038636051,0.76032,9,120.1,2021-04-01,3.29638528823853,37,37,1,0,9.135851635304554
Arbutus Ridge,2021,4,night,2111,0.55149,3827.811927686812,0.94752,6,120.1,2021-04-01,3.29638528823853,37,37,1,0,10.082429064615168
Arbutus Ridge,2021,5,day,3881,0.77374,5015.896812882881,0.8025599999999999,14,120.1,2021-05-01,3.0963122844696,37,37,1,0,9.142538312239944
Arbutus Ridge,2021,5,night,4373,0.95734,4567.865126287422,0.6813257142857143,9,120.1,2021-05-01,3.0963122844696,37,37,1,0,12.608017082494111
Arbutus Ridge,2021,6,day,2259,0.42754,5283.716143518735,0.55865,8,120.1,2021-06-01,NA,NA,NA,NA,0,9.725312592003412
